tile_z_x_y,mask,center_mask,width,length
13_3789_4361,"[(179, 20.5), (191.5, 9), (189.5, 5), (184, 0), (160, 0), (176.5, 20), (179, 20.5)]","[122065.793, 491596.971]",8.221,11.72
13_3789_4361,"[(207, 54.5), (220.5, 43), (199.5, 16), (196, 13.5), (182.5, 25), (207, 54.5)]","[122076.038, 491586.164]",7.908,16.199
13_3789_4361,"[(238, 89.5), (249.5, 79), (234.5, 61), (226, 53.5), (215.5, 64), (238, 89.5)]","[122089.02, 491570.365]",6.817,14.672
13_3789_4361,"[(255, 110.5), (255, 81.5), (241.5, 94), (255, 110.5)]","[122096.57, 491560.28]",5.67,12.18
13_3794_4318,"[(200, 63.5), (203.5, 60), (203.5, 58), (200, 54.5), (161, 31.5), (152, 30.5), (149.5, 32), (152.5, 38), (157, 41.5), (200, 63.5)]","[122602.921, 486957.655]",4.471,25.51
13_3794_4318,"[(233, 92.5), (241.5, 77), (216, 61.5), (206.5, 78), (227, 90.5), (233, 92.5)]","[122623.049, 486944.423]",8.008,12.864
13_3726_4281,"[(115, 205.5), (119.5, 199), (118, 197.5), (100, 186.5), (85, 174.5), (83.5, 175), (79.5, 181), (80, 184.5), (115, 205.5)]","[115258.884, 482918.892]",4.649,18.169
13_3726_4281,"[(156, 242.5), (163.5, 232), (125, 205.5), (117.5, 215), (117.5, 217), (156, 242.5)]","[115276.427, 482904.655]",5.765,19.963
13_3726_4281,"[(197, 255.5), (171, 236.5), (164.5, 246), (167, 249.5), (176, 255.5), (197, 255.5)]","[115292.29, 482894.444]",5.4,13.525
13_3769_4321,"[(246, 136.5), (255.5, 116), (255, 111), (256, 105), (248, 102), (237.5, 131), (238, 133.5), (246, 136.5)]","[119944.829, 487249.326]",13.91,4.964
13_3769_4321,"[(231, 175.5), (244.5, 142), (244, 140.5), (235, 136.5), (231.5, 141), (220.5, 169), (221, 172.5), (231, 175.5)]","[119938.498, 487233.969]",16.222,5.221
13_3769_4321,"[(210, 232.5), (222.5, 202), (221, 198.5), (214, 195.5), (210.5, 200), (199.5, 228), (210, 232.5)]","[119929.715, 487209.676]",15.016,4.982
13_3727_4280,"[(34, 83), (42, 70), (8, 49.5), (1, 61), (24, 76), (30, 80)]","[115334.195, 482863.48]",6.411,16.674
13_3727_4280,"[(86, 111.5), (93.5, 101), (64, 79.5), (60, 77), (51, 88), (86, 111.5)]","[115355.505, 482851.67]",6.007,17.863
13_3727_4280,"[(143, 154), (151, 140), (148, 138.5), (102, 106.5), (99, 105.5), (95.5, 109), (91.5, 115), (94, 118.5), (140, 152)]","[115376.101, 482836.948]",6.768,27.136
13_3727_4280,"[(198, 188), (202, 176), (194, 171), (157, 146), (152.5, 150), (148.5, 157), (149, 159.5), (189, 182.5)]","[115398.526, 482821.307]",6.591,24.543
13_3814_4319,"[(230, 116), (233, 109), (227.5, 73), (222, 40), (220, 32), (219, 26), (217.5, 21), (215, 18.5), (212, 18.5), (209.5, 21), (208, 27), (214, 66), (224, 114), (227, 116)]","[124771.943, 487056.586]",5.11,41.636
13_3814_4319,"[(247, 112), (252, 105), (245, 49), (240, 22), (234, 22), (231, 25), (233, 51), (234, 59), (242, 109)]","[124780.681, 487056.684]",5.105,38.185
13_3814_4319,"[(197, 112), (191, 80), (181.5, 33), (180.5, 29), (177, 25.5), (174, 25.5), (171.5, 29), (171.5, 34), (179.5, 81), (186, 115), (193, 118)]","[124756.557, 487053.972]",4.823,39.657
13_3814_4319,"[(135, 117.5), (139.5, 113), (140.5, 106), (130.5, 52), (127.5, 39), (123, 34.5), (119, 33.5), (114.5, 40), (114.5, 44), (123.5, 94), (126.5, 109), (131, 115.5), (135, 117.5)]","[124732.905, 487052.823]",6.103,35.914
13_3814_4319,"[(76, 115.5), (80.5, 111), (80.5, 105), (71.5, 54), (69.5, 46), (66, 43.5), (63, 43.5), (58.5, 47), (58.5, 53), (67.5, 108), (68.5, 112), (71, 114.5), (76, 115.5)]","[124708.521, 487050.998]",5.592,30.725
13_3814_4319,"[(108, 124), (113, 126), (119, 120), (109, 62), (105, 43), (99, 41), (95, 49), (97.5, 65), (98, 73), (100, 83)]","[124724.148, 487049.261]",5.338,36.18
13_3814_4319,"[(63, 145), (64, 135), (56.5, 99), (49.5, 58), (47, 55.5), (43, 54.5), (37.5, 60), (52, 143), (58, 147)]","[124700.773, 487041.974]",5.543,39.355
13_3814_4319,"[(25, 146), (28, 144), (22, 106), (14, 70), (9, 65.5), (6, 65.5), (3.5, 69), (9, 107), (10, 114), (18, 146)]","[124685.878, 487039.695]",5.502,34.641
13_3753_4288,"[(197, 39.5), (197, 37), (197, 24), (197.5, 2), (195, 0), (189, 0), (180, 1), (181, 39), (197, 39.5)]","[118199.958, 483743.165]",16.577,7.355
13_3753_4288,"[(55, 46.5), (57.5, 25), (57.5, 9), (45, 8.5), (42.5, 45), (55, 46.5)]","[118141.766, 483739.915]",15.785,5.711
13_3753_4288,"[(54, 92.5), (56.5, 49), (43, 47.5), (39.5, 91), (41, 92.5), (54, 92.5)]","[118140.874, 483721.709]",18.917,6.116
13_3753_4288,"[(194, 82.5), (196.5, 54), (195, 45), (179, 44), (178.5, 55), (177.5, 81), (194, 82.5)]","[118199.106, 483724.866]",15.867,7.533
13_3753_4288,"[(255, 97.5), (255.5, 62), (251, 61.5), (249.5, 96), (255, 97.5)]","[118226.792, 483717.824]",15.095,2.319
13_3753_4288,"[(189, 114.5), (191.5, 113), (191.5, 88), (191, 87), (190, 86), (178, 85.5), (176.5, 113), (189, 114.5)]","[118198.071, 483709.336]",11.975,6.291
13_3753_4288,"[(51, 145.5), (53.5, 144), (53.5, 96), (40, 95.5), (39.5, 144), (41, 145.5), (51, 145.5)]","[118140.213, 483700.678]",20.995,5.88
13_3753_4288,"[(255, 141.5), (255.5, 106), (251, 105.5), (249.5, 107), (249.5, 140), (251, 141.5), (255, 141.5)]","[118226.646, 483699.561]",15.119,2.514
13_3753_4288,"[(189, 152.5), (191.5, 119), (177, 117.5), (175.5, 120), (174.5, 152), (189, 152.5)]","[118197.351, 483694.662]",14.528,6.67
13_3753_4288,"[(255, 191.5), (255.5, 145), (248, 143.5), (246.5, 146), (247.5, 149), (247, 151), (246.5, 152), (245.5, 191), (255, 191.5)]","[118225.93, 483680.718]",20.09,3.994
13_3753_4288,"[(59, 188.5), (60.5, 185), (58, 148), (43, 149), (41.5, 160), (43.5, 167), (43.5, 188), (59, 188.5)]","[118142.139, 483680.59]",7.254,17.005
13_3753_4288,"[(189, 203.5), (189.5, 158), (175, 157.5), (174.5, 202), (176, 203.5), (189, 203.5)]","[118197.078, 483675.512]",19.314,6.097
13_3753_4288,"[(46, 235.5), (56, 234.5), (57.5, 233), (54, 190.5), (42.5, 192), (44.5, 230), (46, 235.5)]","[118141.546, 483661.762]",5.338,18.56
13_3753_4288,"[(255, 225.5), (255.5, 197), (247, 196.5), (245.5, 198), (244.5, 224), (255, 225.5)]","[118225.715, 483662.773]",12.042,4.431
13_3753_4288,"[(253, 255), (254, 230), (243, 230), (242.5, 236), (242.5, 255), (251, 255.5)]","[118224.817, 483649.515]",10.752,4.725
13_3753_4288,"[(63, 253.5), (88, 252.5), (89.5, 243), (87, 239.5), (70, 240), (53, 241.5), (51.5, 243), (52.5, 253), (63, 253.5)]","[118150.311, 483647.775]",15.947,5.548
13_3753_4288,"[(162, 236), (163, 208), (185, 208), (183, 247), (166, 246)]","[118193.505, 483656.148]",16.402,9.228
13_3791_4356,"[(255, 0), (252, 0), (239, 0), (229.5, 12), (238, 19.5)]","[122307.605, 491059.39]",10.865,5.065
13_3791_4356,"[(104, 78), (106.5, 79), (136.5, 42), (129, 34.5), (125, 33), (94, 67), (99, 74), (102, 77), (103, 78)]","[122254.675, 491039.207]",20.858,7.275
13_3791_4356,"[(223, 67.5), (242.5, 40), (241, 36.5), (233, 31.5), (230.5, 33), (212.5, 59), (215, 63.5), (223, 67.5)]","[122301.945, 491041.982]",15.539,5.817
13_3791_4356,"[(65, 108.5), (96, 83), (86, 73), (79, 79), (56.5, 98), (65, 108.5)]","[122238.325, 491024.676]",16.859,5.912
13_3791_4356,"[(174, 129), (193.5, 109), (182, 99.5), (164.5, 118), (164.5, 120), (169, 124.5), (176, 129.5)]","[122281.32, 491014.828]",11.706,6.809
13_3791_4356,"[(34, 139.5), (61.5, 119), (64, 117), (53, 101), (24, 124), (34, 139.5)]","[122224.846, 491012.191]",16.062,8.195
13_3791_4356,"[(133, 157.5), (167.5, 130), (160, 120.5), (124.5, 148), (133, 157.5)]","[122267.759, 491004.298]",18.859,5.344
13_3791_4356,"[(0, 159.5), (22, 144), (12, 134), (0, 144), (0, 159.5)]","[122210.139, 491001.47]",11.303,5.852
13_3791_4356,"[(112, 204.5), (133.5, 182), (134.5, 177), (132, 174.5), (128, 175.5), (105.5, 198), (105.5, 200), (109, 203.5), (112, 204.5)]","[122256.858, 490983.105]",15.443,3.861
13_3791_4356,"[(85, 231.5), (110, 208), (97, 194), (73, 219), (85, 231.5)]","[122244.804, 490973.294]",14.536,8.024
13_3791_4356,"[(63, 252.5), (83.5, 235), (73, 222.5), (52.5, 240), (63, 252.5)]","[122234.96, 490962.97]",11.375,6.856
13_3791_4356,"[(57, 255.5), (58.5, 254), (57.5, 251), (49, 241.5), (32.5, 255), (57, 255.5)]","[122226.253, 490957.484]",9.19,6.679
13_3794_4287,"[(124, 253.5), (156, 250.5), (155.5, 235), (119, 238.5), (119.5, 252), (124, 253.5)]","[122586.776, 483541.188]",15.72,6.501
13_3794_4287,"[(197, 255.5), (198.5, 252), (197, 250.5), (169, 235.5), (166.5, 237), (160.5, 248), (172, 255.5), (197, 255.5)]","[122603.568, 483539.755]",6.809,15.001
13_3794_4287,"[(109, 255.5), (115.5, 253), (111, 238), (68, 246), (65.5, 246), (66.5, 254), (68, 255.5), (109, 255.5)]","[122567.674, 483539.435]",20.342,7.093
13_3814_4315,"[(9, 45), (12.5, 45), (12.5, 32), (1, 31.5), (0.5, 46), (6, 46)]","[124682.084, 486638.138]",6.094,5.023
13_3814_4315,"[(255, 44), (255, 28.5), (240, 30), (239, 44), (249, 44)]","[124783.261, 486638.985]",6.72,6.51
13_3814_4315,"[(102, 41.5), (116, 40.5), (116.5, 31), (75.5, 31), (76, 41.5), (102, 41.5)]","[124719.567, 486639.219]",4.41,17.22
13_3814_4315,"[(217, 42.5), (217.5, 32), (216, 30.5), (184.5, 31), (183.5, 35), (185, 42.5), (217, 42.5)]","[124763.694, 486639.03]",14.28,5.04
13_3814_4315,"[(69, 45.5), (70.5, 43), (69, 30.5), (17.5, 31), (18, 45.5), (69, 45.5)]","[124697.798, 486638.383]",22.21,6.3
13_3814_4315,"[(181, 49.5), (181, 33), (134, 33), (125.5, 32), (126, 49.5), (181, 49.5)]","[124743.732, 486637.097]",23.31,7.35
13_3780_4329,"[(173, 31.5), (180.5, 23), (178, 20.5), (177, 21.5), (176, 18.5), (174, 18.5), (155, 0), (151, 0), (144.5, 7), (146, 6.5), (157, 18.5), (158, 17.5), (159.5, 19), (159, 20.5), (171, 31.5), (173, 31.5)]","[121092.065, 488153.162]",5.444,15.777
13_3780_4329,"[(233, 87.5), (240.5, 80), (215, 56.5), (215.5, 58), (214, 59.5), (213, 58.5), (211.5, 60), (212.5, 61), (208.5, 64), (209.5, 66), (233, 87.5)]","[121117.889, 488129.309]",4.5,14.649
13_3780_4329,"[(115, 18), (146, 46), (135, 57), (104, 26)]","[121076.322, 488144.072]",6.534,18.413
13_3780_4329,"[(139, 62), (147, 51), (174, 76), (165, 86)]","[121089.313, 488130.823]",5.674,15.526
13_3780_4329,"[(192, 243), (198, 247), (228, 195), (228, 188), (220, 186), (192, 235)]","[121111.747, 488069.142]",27.766,4.793
13_3780_4329,"[(180, 38), (188, 28), (202, 42), (214, 53), (203, 62), (190, 48)]","[121106.217, 488140.602]",5.927,15.149
13_3791_4285,"[(97, 68.5), (100.5, 65), (103.5, 58), (110.5, 13), (109.5, 8), (105, 5.5), (99.5, 9), (98.5, 12), (91.5, 57), (93.5, 66), (97, 68.5)]","[122248.752, 483413.593]",26.662,5.045
13_3791_4285,"[(109, 68.5), (112.5, 66), (114.5, 60), (114.5, 53), (120.5, 22), (120.5, 14), (117, 9.5), (110.5, 16), (104.5, 58), (102.5, 63), (106, 68.5), (109, 68.5)]","[122253.503, 483412.182]",25.204,4.757
13_3791_4285,"[(84, 149.5), (87.5, 147), (91.5, 119), (90.5, 118), (95.5, 90), (95.5, 83), (93, 80.5), (90, 80.5), (86.5, 84), (77.5, 142), (77.5, 146), (80, 148.5), (84, 149.5)]","[122242.792, 483380.209]",29.223,4.455
13_3791_4285,"[(71, 227.5), (76.5, 224), (78.5, 210), (78.5, 201), (83.5, 170), (83.5, 163), (80, 160.5), (76, 161.5), (72.5, 167), (73.5, 168), (71.5, 174), (72.5, 175), (65.5, 217), (65.5, 223), (71, 227.5)]","[122237.749, 483347.124]",28.392,5.001
13_3791_4285,"[(81, 255.5), (82.5, 251), (82, 244.5), (65.5, 243), (64, 255.5), (81, 255.5)]","[122237.146, 483323.944]",5.285,7.567
13_3791_4285,"[(102, 89), (108, 93), (101, 154), (96, 157), (90, 154), (94, 114), (99, 92)]","[122247.961, 483376.766]",28.661,4.836
13_3778_4301,"[(209, 161.5), (212.5, 159), (214, 89), (209, 89), (205, 91), (203.5, 96), (202.5, 159), (205, 161.5), (209, 161.5)]","[120896.076, 485096.564]",30.524,4.346
13_3778_4301,"[(196, 83), (202, 83), (201, 140), (202, 168), (196, 172), (194, 147)]","[120891.886, 485095.614]",3.36,37.38
13_3787_4315,"[(138, 49.5), (142.5, 43), (140, 38.5), (97, 13.5), (93, 11.5), (91.5, 13), (87.5, 20), (89, 22.5), (132, 47.5), (138, 49.5)]","[121824.598, 486641.484]",4.957,24.851
13_3753_4287,"[(250, 15.5), (251.5, 13), (251.5, 0), (243, 0), (241.5, 2), (241.5, 15), (250, 15.5)]","[118224.178, 483640.637]",4.2,6.51
13_3753_4287,"[(221, 79.5), (244, 80), (243, 65), (219, 65.5), (218.5, 73), (221, 79.5)]","[118217.867, 483613.411]",10.646,6.307
13_3753_4287,"[(233, 118.5), (235.5, 117), (233.5, 85), (222, 84.5), (219.5, 86), (221.5, 118), (233, 118.5)]","[118216.19, 483601.21]",5.895,14.54
13_3753_4287,"[(235, 163.5), (239.5, 162), (236.5, 123), (222, 123.5), (220.5, 125), (220.5, 131), (223.5, 163), (235, 163.5)]","[118217.196, 483583.712]",6.958,17.169
13_3753_4287,"[(211, 184), (222, 186.5), (223.5, 185), (222.5, 168), (221, 166.5), (203, 168), (196, 169), (197, 187), (205, 186)]","[118208.775, 483569.667]",11.159,8.41
13_3753_4287,"[(204, 247), (220, 247), (215, 203), (201, 204), (201.5, 211), (203, 234), (204, 244)]","[118208.87, 483549.051]",6.7,18.619
13_3780_4337,"[(184, 218.5), (223, 214.5), (228.5, 211), (228.5, 207), (224, 203.5), (192, 204.5), (181, 206.5), (171.5, 213), (178, 217.5), (184, 218.5)]","[121108.039, 488931.367]",24.072,5.506
13_3780_4337,"[(132, 217.5), (165, 215.5), (168.5, 212), (168.5, 209), (166, 205.5), (150, 205.5), (117, 207.5), (112.5, 211), (112.5, 215), (115, 217.5), (132, 217.5)]","[121082.709, 488930.995]",23.629,4.573
13_3780_4337,"[(64, 226.5), (106, 222.5), (107.5, 221), (106.5, 213), (58, 216.5), (49, 218.5), (43.5, 223), (48, 226.5), (64, 226.5)]","[121055.943, 488927.362]",26.871,4.37
13_3780_4337,"[(146, 230), (167, 229), (165.5, 222), (161, 217.5), (154, 217.5), (120, 219.5), (116.5, 224), (119, 230), (136, 229)]","[121083.444, 488925.749]",21.086,5.084
13_3780_4337,"[(9, 235), (33, 232), (40, 231), (39.5, 224), (35, 219.5), (0, 223), (0, 231.5), (0, 236)]","[121031.723, 488924.286]",17.009,5.433
13_3780_4337,"[(60, 234), (63, 228), (95, 225), (100, 230), (97, 236), (89, 239), (63, 241)]","[121057.08, 488921.992]",16.883,5.619
13_3780_4340,"[(77, 94.5), (79.5, 92), (80.5, 87), (89, 1), (79, 1), (70, 82), (68.5, 91), (72, 94.5), (77, 94.5)]","[121056.871, 489322.15]",39.833,4.811
13_3780_4340,"[(190, 27.5), (194.5, 24), (194.5, 21), (187, 15.5), (110, 6.5), (106, 6.5), (102.5, 10), (103.5, 16), (110, 18.5), (190, 27.5)]","[121085.824, 489335.309]",5.006,39.061
13_3780_4340,"[(199, 48.5), (202.5, 46), (202.5, 44), (199, 40.5), (191, 37.5), (123, 30.5), (113, 30.5), (109.5, 34), (110.5, 38), (113, 40.5), (118, 41.5), (184, 48.5), (199, 48.5)]","[121088.971, 489325.737]",4.897,39.371
13_3780_4340,"[(96, 110.5), (98.5, 108), (99.5, 102), (105.5, 52), (100, 43.5), (93.5, 50), (87.5, 104), (87.5, 108), (90, 110.5), (96, 110.5)]","[121064.137, 489309.553]",28.432,5.102
13_3780_4340,"[(47, 117.5), (51.5, 113), (50.5, 109), (48, 107.5), (4, 98.5), (0.5, 99), (0.5, 107), (2, 108.5), (47, 117.5)]","[121034.293, 489297.054]",4.283,22.157
13_3780_4340,"[(126, 49), (129, 45), (134, 44), (209, 52), (219, 56), (219, 61), (216, 64), (207, 65), (133, 56), (126, 53)]","[121096.306, 489319.509]",5.518,39.374
13_3830_4306,"[(64, 170.5), (66.5, 164), (72.5, 133), (54, 129.5), (52.5, 131), (45.5, 166), (64, 170.5)]","[126424.468, 485623.83]",16.144,8.484
13_3830_4306,"[(194, 196.5), (195, 194.5), (230, 189.5), (230.5, 184), (227.5, 170), (222, 169.5), (198, 174.5), (191, 174.5), (189.5, 179), (191.5, 185), (191.5, 192), (193.5, 195), (189.5, 196), (194, 196.5)]","[126487.973, 485610.176]",17.803,9.323
13_3830_4306,"[(97, 179), (99, 163), (135, 170), (132, 186), (115, 183)]","[126448.307, 485613.402]",6.963,15.449
13_3763_4329,"[(196, 99.5), (208.5, 96), (200, 60.5), (185.5, 63), (192.5, 99), (196, 99.5)]","[119278.462, 488125.987]",6.837,15.89
13_3763_4329,"[(207, 140.5), (218.5, 137), (211, 102.5), (194, 107), (201.5, 138), (203, 140.5), (207, 140.5)]","[119282.549, 488108.514]",7.384,15.117
13_3763_4329,"[(221, 221.5), (236.5, 217), (226, 177), (211, 179), (218.5, 217), (219.5, 221), (221, 221.5)]","[119289.626, 488075.987]",7.333,18.331
13_3763_4329,"[(169, 28), (182, 26), (175, 0), (162, 0)]","[119268.057, 488153.971]",5.501,12.631
13_3763_4329,"[(203, 145), (216, 142), (220, 159), (224, 171), (209, 175), (207, 161)]","[119285.341, 488093.065]",6.52,12.824
13_3763_4329,"[(221, 224), (240, 222), (244, 242), (246, 255), (227, 255), (224, 238)]","[119294.016, 488059.321]",8.047,14.778
13_3790_4355,"[(126, 20.5), (150.5, 0), (128, 0), (118, 7.5), (115.5, 10), (124, 20.5), (126, 20.5)]","[122153.703, 490951.754]",14.061,6.344
13_3790_4355,"[(235, 62.5), (255.5, 45), (255.5, 37), (248, 28.5), (223.5, 48), (235, 62.5)]","[122200.084, 490936.134]",13.406,7.773
13_3790_4355,"[(72, 68), (101, 45), (88, 31), (83, 34.5), (60.5, 54), (69, 64.5), (71, 66)]","[122132.682, 490934.497]",15.599,8.184
13_3790_4355,"[(36, 93.5), (62.5, 72), (53, 59.5), (51, 59.5), (25.5, 80), (26.5, 83), (36, 93.5)]","[122117.275, 490923.203]",14.859,7.182
13_3790_4355,"[(195, 106), (229, 73), (223, 63.5), (216, 69.5), (212, 69.5), (202, 77.5), (199.5, 80), (200.5, 83), (187.5, 94), (193, 100.5)]","[122186.287, 490920.022]",20.871,6.542
13_3790_4355,"[(0, 117.5), (29.5, 92), (24, 84.5), (21, 85.5), (0, 105), (0, 117.5)]","[122104.534, 490913.402]",16.69,4.4
13_3790_4355,"[(173, 115.5), (183.5, 106), (183.5, 104), (174, 93.5), (162.5, 102), (165.5, 108), (173, 115.5)]","[122171.606, 490911.365]",6.733,7.163
13_3790_4355,"[(151, 142.5), (173.5, 124), (163, 112), (141, 132), (146.5, 139), (151, 142.5)]","[122164.876, 490901.612]",12.683,6.697
13_3790_4355,"[(116, 162.5), (141.5, 141), (140.5, 138), (131, 127.5), (104.5, 150), (116, 162.5)]","[122150.728, 490894.281]",14.788,7.176
13_3790_4355,"[(90, 186.5), (113.5, 166), (113.5, 164), (105, 154.5), (102, 155.5), (80.5, 175), (84.5, 182), (90, 186.5)]","[122139.651, 490883.68]",14.118,6.507
13_3790_4355,"[(50, 221.5), (85.5, 191), (84.5, 188), (76, 178.5), (40.5, 209), (40.5, 211), (50, 221.5)]","[122125.322, 490871.19]",20.312,6.582
13_3790_4355,"[(19, 246.5), (46.5, 223), (37, 212.5), (9.5, 236), (19, 246.5)]","[122110.64, 490858.81]",15.361,5.945
13_3790_4355,"[(8, 255.5), (14.5, 249), (5, 239.5), (0, 245), (0, 255), (8, 255.5)]","[122101.349, 490850.791]",6.088,5.643
13_3714_4292,"[(250, 41), (255, 33), (251, 26.5), (220, 6.5), (217.5, 8), (214.5, 13), (216, 16.5), (245, 36)]","[114026.088, 484171.818]",5.186,19.177
13_3782_4316,"[(12, 239.5), (18, 222), (0, 217.5), (0, 237), (12, 239.5)]","[121241.896, 486666.007]",7.945,7.793
13_3782_4316,"[(220, 248.5), (240, 244.5), (251, 240.5), (249, 226), (217, 232), (213.5, 232), (214.5, 248), (220, 248.5)]","[121336.092, 486662.165]",15.827,7.288
13_3782_4316,"[(35, 225), (33, 242), (69, 246), (72, 227)]","[121260.813, 486663.22]",8.07,15.584
13_3782_4316,"[(106, 231), (105, 247), (70, 246), (74, 228)]","[121275.839, 486661.921]",7.65,14.698
13_3782_4316,"[(111, 179), (111, 189), (157, 190), (161, 184), (161, 180), (149, 177), (112, 177)]","[121295.548, 486684.914]",5.386,21.041
13_3782_4316,"[(108, 232), (106, 248), (139, 250), (174, 249), (174, 235), (140, 235)]","[121297.386, 486660.374]",6.961,28.55
13_3782_4316,"[(176, 235), (176, 250), (212, 249), (212, 233), (192, 235)]","[121320.292, 486660.297]",15.312,6.717
13_3764_4380,"[(74, 89.5), (88.5, 87), (84.5, 43), (83, 40.5), (69, 41.5), (66.5, 43), (70.5, 88), (74, 89.5)]","[119335.883, 493615.979]",7.567,20.267
13_3764_4380,"[(82, 140.5), (84.5, 113), (85.5, 107), (87.5, 106), (86, 103.5), (68, 101.5), (66.5, 103), (63.5, 139), (82, 140.5)]","[119334.64, 493592.416]",15.853,8.894
13_3764_4380,"[(71, 183.5), (75.5, 178), (76.5, 174), (88.5, 159), (87, 155.5), (76, 147.5), (74, 147.5), (70.5, 151), (55.5, 172), (59, 176.5), (69, 183.5), (71, 183.5)]","[119333.6, 493573.762]",14.061,8.3
13_3764_4380,"[(51, 210.5), (68.5, 187), (54, 175.5), (50.5, 178), (35.5, 199), (39, 203.5), (49, 210.5), (51, 210.5)]","[119325.063, 493562.035]",13.195,8.321
13_3764_4380,"[(30, 241.5), (49.5, 214), (39, 206.5), (19.5, 233), (23, 237.5), (30, 241.5)]","[119317.744, 493549.066]",14.501,5.664
13_3764_4380,"[(20, 255.5), (24.5, 249), (12, 239.5), (0.5, 254), (1, 255.5), (20, 255.5)]","[119308.734, 493538.391]",8.146,6.902
13_3798_4316,"[(29, 40.5), (32.5, 39), (32.5, 37), (27, 29.5), (0, 15), (0, 24), (2, 26.5), (20, 38.5), (29, 40.5)]","[122965.537, 486749.717]",4.721,16.795
13_3798_4316,"[(110, 81.5), (112.5, 80), (112.5, 76), (108, 70.5), (60, 43.5), (55.5, 46), (54.5, 51), (56, 53.5), (100, 79.5), (104, 81.5), (110, 81.5)]","[122994.19, 486735.335]",4.942,27.866
13_3798_4316,"[(147, 104.5), (149.5, 103), (150.5, 100), (143, 93.5), (121, 81.5), (116.5, 83), (116.5, 86), (119, 88.5), (134, 98.5), (147, 104.5)]","[123015.075, 486722.882]",3.654,16.19
13_3798_4316,"[(211, 108.5), (218.5, 104), (218.5, 101), (213, 97.5), (170, 96.5), (161, 97.5), (158.5, 100), (158.5, 104), (162, 106.5), (177, 108.5), (211, 108.5)]","[123038.087, 486718.846]",4.97,25.232
13_3753_4290,"[(162, 148.5), (176.5, 113), (167, 108.5), (163.5, 113), (151.5, 144), (154, 146.5), (162, 148.5)]","[118189.433, 483912.379]",16.84,5.055
13_3753_4290,"[(147, 186.5), (158.5, 154), (158, 151.5), (150, 148.5), (146.5, 149), (146.5, 155), (135.5, 183), (147, 186.5)]","[118182.609, 483896.053]",15.661,5.442
13_3753_4290,"[(132, 224.5), (144.5, 192), (131, 186.5), (118.5, 219), (132, 224.5)]","[118175.87, 483880.09]",14.745,6.121
13_3753_4290,"[(125, 255.5), (132.5, 233), (116, 228.5), (107.5, 255), (125, 255.5)]","[118171.054, 483864.369]",12.005,7.176
13_3781_4334,"[(255, 8.5), (255, 0), (222, 0), (209, 1), (212, 5), (255, 8.5)]","[121229.939, 488695.824]",19.32,3.57
13_3781_4334,"[(255, 27.5), (255, 18.5), (220, 15.5), (216.5, 19), (217.5, 23), (220, 24.5), (255, 27.5)]","[121230.478, 488688.283]",3.766,16.416
13_3781_4334,"[(255, 49.5), (255, 37.5), (215, 34.5), (209, 36.5), (206.5, 39), (211, 44.5), (216, 46.5), (255, 49.5)]","[121228.799, 488679.743]",5.026,20.643
13_3781_4334,"[(255, 86.5), (255, 77.5), (221.5, 77), (221, 86), (255, 86.5)]","[121231.211, 488662.94]",3.783,14.282
13_3781_4334,"[(255, 108.5), (255.5, 99), (254, 97.5), (237, 95.5), (212, 95.5), (208.5, 99), (208.5, 102), (213, 105.5), (232, 108.5), (255, 108.5)]","[121229.059, 488654.517]",19.74,5.46
13_3781_4334,"[(254, 126.5), (255.5, 125), (255.5, 116), (252, 114.5), (209, 113.5), (203, 117), (203, 122), (210, 125.5), (254, 126.5)]","[121227.796, 488646.89]",5.029,22.121
13_3781_4334,"[(254, 147.5), (255.5, 146), (255.5, 139), (253, 137.5), (221, 136.5), (214.5, 141), (221, 146.5), (254, 147.5)]","[121230.498, 488637.651]",4.198,17.276
13_3781_4334,"[(255, 169.5), (256, 158), (252, 158), (208, 153), (201, 157), (202, 163), (216, 167), (249, 167.5), (255, 169.5)]","[121227.086, 488629.599]",5.5,23.102
13_3781_4334,"[(249, 186.5), (251.5, 185), (252.5, 181), (250, 178.5), (245, 177.5), (215, 174.5), (207.5, 179), (213, 184.5), (249, 186.5)]","[121227.93, 488621.343]",4.24,18.917
13_3781_4334,"[(255, 208), (255.5, 203), (255, 197), (253, 197), (212, 194.5), (197, 193), (197, 200), (197, 206), (211, 207), (253, 207.5)]","[121225.714, 488612.801]",5.462,24.801
13_3781_4334,"[(253, 226.5), (255.5, 224), (255.5, 220), (249, 217.5), (204, 215), (203, 219), (204, 224), (214, 224.5), (253, 226.5)]","[121227.311, 488604.523]",3.774,22.133
13_3781_4334,"[(245, 246.5), (246.5, 245), (247.5, 238), (246, 234.5), (195, 232), (194, 236), (193, 243), (245, 246.5)]","[121223.886, 488596.867]",5.057,22.697
13_3773_4350,"[(54, 159), (54.5, 152), (52.5, 138), (27.5, 50), (25, 46.5), (18, 44.5), (11.5, 49), (10.5, 52), (12.5, 62), (36.5, 147), (41.5, 156), (51, 164.5)]","[120284.979, 490374.569]",7.494,52.27
13_3773_4350,"[(83, 252.5), (85.5, 247), (85.5, 237), (81.5, 217), (76.5, 202), (69, 196.5), (64.5, 200), (63.5, 203), (66.5, 220), (76.5, 246), (83, 252.5)]","[120302.65, 490324.049]",6.375,24.172
